SCL,WVP,B12,B11,B09,B8A,B08,B07,B06,B05,B04,B03,B02,B01,AOT
6.00000,2161.00000,49.00000,88.00000,318.00000,776.00000,1048.00000,1103.00000,1093.00000,1144.00000,498.00000,879.00000,464.00000,419.00000,116.00000
4.00000,4751.00000,80.00000,206.00000,585.00000,2224.00000,2508.00000,2843.00000,2682.00000,1510.00000,498.00000,924.00000,461.00000,431.00000,120.00000
4.00000,2161.00000,61.00000,174.00000,541.00000,2009.00000,2626.00000,2476.00000,2260.00000,1428.00000,445.00000,916.00000,422.00000,393.00000,120.00000
6.00000,2161.00000,58.00000,115.00000,440.00000,1017.00000,1348.00000,1307.00000,1288.00000,1190.00000,490.00000,909.00000,459.00000,383.00000,116.00000
6.00000,2161.00000,49.00000,70.00000,201.00000,727.00000,1392.00000,1101.00000,1029.00000,1114.00000,470.00000,820.00000,440.00000,517.00000,116.00000
4.00000,2161.00000,59.00000,151.00000,397.00000,1664.00000,2432.00000,2068.00000,1916.00000,1317.00000,441.00000,944.00000,421.00000,478.00000,116.00000
6.00000,2161.00000,65.00000,141.00000,620.00000,1335.00000,1274.00000,1634.00000,1679.00000,1271.00000,472.00000,896.00000,456.00000,371.00000,120.00000
6.00000,2161.00000,64.00000,150.00000,573.00000,1539.00000,1416.00000,1961.00000,1774.00000,1315.00000,462.00000,902.00000,450.00000,386.00000,120.00000
6.00000,2161.00000,49.00000,90.00000,404.00000,928.00000,901.00000,1204.00000,1229.00000,1149.00000,514.00000,861.00000,475.00000,394.00000,116.00000
4.00000,3730.00000,119.00000,385.00000,3009.00000,3939.00000,4352.00000,4262.00000,4169.00000,1850.00000,451.00000,1054.00000,424.00000,291.00000,116.00000
4.00000,2161.00000,73.00000,225.00000,672.00000,2090.00000,1502.00000,2730.00000,2289.00000,1469.00000,477.00000,888.00000,472.00000,388.00000,116.00000
4.00000,3960.00000,95.00000,299.00000,1472.00000,3142.00000,3306.00000,3498.00000,3433.00000,1701.00000,449.00000,1019.00000,443.00000,325.00000,120.00000
4.00000,3816.00000,87.00000,266.00000,1597.00000,3098.00000,3162.00000,3350.00000,3448.00000,1656.00000,428.00000,978.00000,412.00000,325.00000,116.00000
6.00000,2161.00000,56.00000,140.00000,506.00000,1506.00000,1898.00000,1811.00000,1768.00000,1277.00000,508.00000,938.00000,463.00000,417.00000,116.00000
4.00000,3925.00000,71.00000,220.00000,671.00000,2362.00000,3140.00000,2755.00000,2693.00000,1539.00000,437.00000,983.00000,419.00000,386.00000,116.00000
4.00000,2161.00000,66.00000,153.00000,545.00000,1623.00000,2136.00000,1797.00000,2023.00000,1272.00000,465.00000,956.00000,454.00000,415.00000,116.00000
4.00000,3553.00000,119.00000,455.00000,2987.00000,4588.00000,4916.00000,5087.00000,4725.00000,1868.00000,453.00000,1076.00000,438.00000,412.00000,116.00000
4.00000,4140.00000,147.00000,494.00000,2428.00000,4925.00000,5296.00000,5343.00000,5151.00000,1958.00000,470.00000,1102.00000,457.00000,382.00000,116.00000
4.00000,3785.00000,148.00000,502.00000,2453.00000,5128.00000,5132.00000,5569.00000,5059.00000,1962.00000,455.00000,1070.00000,444.00000,338.00000,116.00000
4.00000,4149.00000,140.00000,478.00000,2568.00000,5082.00000,4852.00000,5346.00000,5053.00000,1917.00000,446.00000,1042.00000,440.00000,343.00000,116.00000
4.00000,3832.00000,91.00000,304.00000,1997.00000,3200.00000,2800.00000,3604.00000,3573.00000,1685.00000,411.00000,921.00000,401.00000,316.00000,116.00000
4.00000,3402.00000,79.00000,255.00000,2369.00000,2356.00000,3082.00000,2750.00000,2550.00000,1531.00000,431.00000,985.00000,425.00000,295.00000,116.00000
4.00000,4006.00000,86.00000,285.00000,2220.00000,3267.00000,3938.00000,3684.00000,3475.00000,1659.00000,420.00000,983.00000,418.00000,291.00000,116.00000
4.00000,3918.00000,77.00000,232.00000,2355.00000,2678.00000,4212.00000,2984.00000,2937.00000,1474.00000,439.00000,991.00000,416.00000,309.00000,116.00000
6.00000,2161.00000,58.00000,110.00000,171.00000,1283.00000,1792.00000,1717.00000,1547.00000,1177.00000,507.00000,892.00000,464.00000,506.00000,116.00000
4.00000,4189.00000,70.00000,182.00000,1453.00000,2385.00000,2518.00000,2923.00000,2694.00000,1507.00000,395.00000,887.00000,383.00000,336.00000,116.00000
6.00000,2161.00000,54.00000,126.00000,628.00000,1427.00000,1704.00000,1756.00000,1722.00000,1215.00000,448.00000,855.00000,430.00000,368.00000,116.00000
6.00000,2161.00000,54.00000,121.00000,407.00000,1294.00000,1104.00000,1662.00000,1602.00000,1228.00000,483.00000,880.00000,482.00000,421.00000,116.00000
4.00000,3761.00000,81.00000,183.00000,1493.00000,1727.00000,1748.00000,2102.00000,2098.00000,1393.00000,438.00000,884.00000,430.00000,327.00000,117.00000
