SCL,WVP,B12,B11,B09,B8A,B08,B07,B06,B05,B04,B03,B02,B01,AOT
4.00000,2421.00000,416.00000,1014.00000,3378.00000,3735.00000,3466.00000,3579.00000,2899.00000,969.00000,295.00000,597.00000,307.00000,229.00000,237.00000
4.00000,3246.00000,397.00000,871.00000,3390.00000,3505.00000,3714.00000,3424.00000,2799.00000,993.00000,274.00000,584.00000,272.00000,315.00000,216.00000
4.00000,2520.00000,411.00000,969.00000,3528.00000,3388.00000,3480.00000,3282.00000,2719.00000,960.00000,291.00000,616.00000,285.00000,237.00000,224.00000
4.00000,3077.00000,345.00000,768.00000,2309.00000,2840.00000,3364.00000,2861.00000,2478.00000,1018.00000,309.00000,612.00000,289.00000,387.00000,220.00000
4.00000,2852.00000,330.00000,727.00000,1710.00000,2733.00000,2624.00000,2622.00000,2313.00000,994.00000,391.00000,645.00000,372.00000,380.00000,218.00000
4.00000,2677.00000,289.00000,660.00000,2493.00000,2340.00000,2464.00000,2357.00000,2006.00000,1066.00000,499.00000,727.00000,409.00000,333.00000,210.00000
4.00000,3144.00000,328.00000,708.00000,1493.00000,2522.00000,2384.00000,2672.00000,2219.00000,1022.00000,440.00000,700.00000,390.00000,446.00000,211.00000
4.00000,2161.00000,271.00000,596.00000,1377.00000,2291.00000,2098.00000,2310.00000,2059.00000,1083.00000,610.00000,760.00000,462.00000,450.00000,206.00000
4.00000,2880.00000,264.00000,599.00000,2329.00000,2236.00000,3062.00000,2229.00000,1954.00000,1092.00000,350.00000,659.00000,340.00000,378.00000,208.00000
4.00000,2574.00000,356.00000,807.00000,2493.00000,2914.00000,2944.00000,2895.00000,2468.00000,1011.00000,394.00000,661.00000,356.00000,333.00000,211.00000
4.00000,3000.00000,282.00000,610.00000,2329.00000,2187.00000,2502.00000,2266.00000,1976.00000,1090.00000,501.00000,680.00000,373.00000,378.00000,208.00000
4.00000,3439.00000,246.00000,546.00000,2061.00000,2134.00000,3206.00000,2091.00000,1886.00000,1083.00000,331.00000,557.00000,280.00000,353.00000,208.00000
4.00000,3312.00000,329.00000,693.00000,1459.00000,2399.00000,2390.00000,2476.00000,2124.00000,1021.00000,450.00000,702.00000,404.00000,439.00000,199.00000
4.00000,3039.00000,325.00000,720.00000,1269.00000,2863.00000,2734.00000,2813.00000,2442.00000,1017.00000,405.00000,665.00000,353.00000,458.00000,197.00000
4.00000,3055.00000,315.00000,670.00000,1330.00000,2360.00000,2486.00000,2493.00000,2119.00000,996.00000,451.00000,677.00000,355.00000,445.00000,193.00000
4.00000,2933.00000,317.00000,670.00000,614.00000,2535.00000,2386.00000,2563.00000,2301.00000,1018.00000,474.00000,709.00000,417.00000,526.00000,189.00000
4.00000,2161.00000,272.00000,603.00000,1089.00000,2272.00000,2184.00000,2247.00000,2027.00000,983.00000,521.00000,720.00000,433.00000,466.00000,190.00000
4.00000,3299.00000,346.00000,767.00000,2256.00000,2774.00000,2790.00000,2714.00000,2324.00000,1022.00000,420.00000,660.00000,329.00000,385.00000,201.00000
4.00000,3092.00000,325.00000,741.00000,2209.00000,2595.00000,2498.00000,2632.00000,2162.00000,996.00000,468.00000,750.00000,417.00000,406.00000,201.00000
4.00000,3285.00000,313.00000,681.00000,539.00000,2466.00000,2492.00000,2455.00000,2146.00000,983.00000,437.00000,684.00000,388.00000,543.00000,185.00000
4.00000,3142.00000,314.00000,688.00000,1747.00000,2399.00000,2326.00000,2394.00000,2089.00000,991.00000,477.00000,706.00000,434.00000,422.00000,185.00000
6.00000,2161.00000,231.00000,485.00000,490.00000,1793.00000,1974.00000,1907.00000,1700.00000,1021.00000,553.00000,750.00000,435.00000,548.00000,187.00000
4.00000,3460.00000,306.00000,660.00000,1823.00000,2268.00000,2374.00000,2342.00000,2023.00000,1008.00000,449.00000,672.00000,388.00000,396.00000,169.00000
4.00000,3464.00000,316.00000,679.00000,1342.00000,2500.00000,2416.00000,2435.00000,2173.00000,996.00000,446.00000,697.00000,381.00000,436.00000,165.00000
6.00000,2161.00000,216.00000,436.00000,1823.00000,1390.00000,2334.00000,1782.00000,1493.00000,973.00000,475.00000,670.00000,407.00000,396.00000,167.00000
6.00000,2161.00000,185.00000,354.00000,807.00000,1479.00000,2066.00000,1856.00000,1601.00000,1107.00000,514.00000,720.00000,439.00000,505.00000,162.00000
4.00000,2161.00000,283.00000,587.00000,1251.00000,2168.00000,2702.00000,2425.00000,2039.00000,912.00000,348.00000,649.00000,336.00000,449.00000,161.00000
4.00000,2908.00000,330.00000,709.00000,2405.00000,2609.00000,2736.00000,2630.00000,2306.00000,991.00000,379.00000,643.00000,350.00000,354.00000,157.00000
4.00000,2719.00000,301.00000,653.00000,2308.00000,2261.00000,2380.00000,2291.00000,1997.00000,933.00000,422.00000,700.00000,399.00000,336.00000,153.00000
4.00000,3242.00000,318.00000,707.00000,1679.00000,2500.00000,2416.00000,2532.00000,2212.00000,977.00000,386.00000,650.00000,364.00000,427.00000,153.00000
6.00000,2161.00000,147.00000,341.00000,587.00000,1322.00000,1924.00000,1299.00000,1132.00000,1044.00000,625.00000,738.00000,436.00000,517.00000,185.00000
4.00000,2782.00000,407.00000,953.00000,3146.00000,3627.00000,3536.00000,3285.00000,2809.00000,978.00000,313.00000,602.00000,285.00000,276.00000,211.00000
4.00000,2631.00000,421.00000,973.00000,3362.00000,3652.00000,3414.00000,3453.00000,2866.00000,967.00000,307.00000,607.00000,289.00000,267.00000,219.00000
4.00000,2601.00000,245.00000,578.00000,3332.00000,2300.00000,3340.00000,2307.00000,1892.00000,1029.00000,348.00000,622.00000,289.00000,295.00000,220.00000
4.00000,3454.00000,448.00000,1021.00000,3332.00000,3932.00000,3742.00000,3743.00000,3079.00000,954.00000,283.00000,579.00000,260.00000,295.00000,219.00000
4.00000,2214.00000,327.00000,765.00000,2847.00000,2486.00000,2496.00000,2618.00000,2094.00000,985.00000,537.00000,728.00000,464.00000,292.00000,237.00000
4.00000,2172.00000,366.00000,875.00000,3124.00000,2827.00000,2808.00000,2830.00000,2315.00000,941.00000,449.00000,678.00000,422.00000,220.00000,231.00000
